,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
206792_x_at,-0.003360390733872884,-0.002171536995782588,-0.002447725687788273,0.027821722445443956,0.023151924477808644,0.010406811000535508,0.0013583666702326274,0.009203614711375686,-0.02950371462903751,0.005417490153667059
205644_s_at,0.0010831124936320972,-0.005454070991157203,-0.027492707420680888,0.00781099799016619,0.010341433169153766,-0.004716899315032372,0.007694446286952642,-0.003238502389154533,0.02427300455343321,-0.000957481402784375
202307_s_at,0.018298471192300866,-0.007026929561887329,-0.010450135140867681,0.01840815035934324,0.006287607474864571,0.010508518759764962,0.034698563211031805,0.006912854494789496,-0.0012931503940999045,0.002112001355955911
212638_s_at,-0.011746688117662602,-0.004211923860089897,0.014862808328980733,0.02717152975346354,-0.004983823876701091,0.003833978201657309,-0.006037300512518749,-0.033844105343467115,0.001317715593262743,0.01450540289702128
211980_at,-0.0010004547783155837,-0.014204943800800833,0.00426250422844217,0.0029891812094744365,0.02242486385706109,0.006439907176864746,0.009474762284937216,-0.000668780367348177,-0.008288298511160313,0.00034000527111029686
207320_x_at,-0.005790212711639493,-0.01408983950461629,-0.00913334527411595,0.01644599072398018,0.0031480898224894747,-0.01457594496143632,-0.012922570563378076,-0.006415885625889027,-0.0071082785019757734,-0.0046218069420643805
209339_at,-0.00913876704226896,-0.001698193591127091,0.015110459977956932,0.02625064033672903,-0.016273597596783877,0.015490467330054774,0.01387619803775975,-0.01579250074269658,-0.009110300646585766,0.00485064683733944
213664_at,-0.007540101259214422,0.00907805193174379,0.00911013659042135,0.02193709619367664,0.007443131015172328,0.0035144168511188453,0.0004676601173874048,0.007125650281349339,-0.017517044045235936,0.0027740382460705805
204745_x_at,0.0024344578741893655,-0.0026872217060149237,-0.01540789686729168,0.0064874403319825046,0.0038419670958977714,0.015686396530821347,0.011781881217790108,-0.002033132074568971,-0.01092759815600724,-0.0318173992767485
221691_x_at,0.003229651551125507,-0.0047445612586558645,0.010737612783517108,-0.007148715740419624,-0.023993169281929665,0.027300047518837176,0.009771687984880076,-0.017550704860354857,0.013712794171441863,0.005107652651325259
200806_s_at,0.00868818449500645,-0.015976474068993683,0.014141064672381255,0.008526438379391934,-0.01832408495060881,0.03545213613136682,0.0066354857467420215,-0.021686316953554382,0.00776110852656863,-0.002788205508049988
210519_s_at,-0.0009927440615782978,-0.006661710881563767,0.007870299866827895,0.0161293297267236,-0.0024680211851203717,0.0026179011716323717,-0.000771905501901541,-0.0048293649642567405,0.012034287149730316,-0.012662899423050027
211654_x_at,0.012503517990480124,0.007691698723886344,0.008582213016806433,0.008799678575362412,0.007362575493425835,0.00815410469127471,0.02635917164169187,-0.0004427278925236543,-0.00991600397645878,-0.011248724854951387
201983_s_at,0.002914406340522866,0.0011115894075777503,-0.002395844621817399,0.01567879636993175,0.012607756232126163,0.024238983639036715,0.007823693564082232,-0.006861503913218561,-0.012440224019378075,-0.00948689305147046
213857_s_at,0.007619102067480482,-0.007875577791989824,-0.021475796343736555,0.01834047740904937,0.013106973003788361,0.003386272239904853,0.01910345772079733,0.0010682759157919419,0.00019727603148359316,0.01545138254980686
202858_at,0.002781642908611926,-0.012296283249057448,-0.017488112313671044,-0.002182747953413401,0.0017444982502806442,0.007501881598914197,0.005859927344135844,0.012370591902365521,-0.007949419320950054,-0.011411485537801004
208808_s_at,0.0006723487106318552,-0.009375107324886486,-0.019437796355099783,0.022001919988592782,0.004288057931322295,0.007691897002771121,0.017602818784918393,-0.02058405359252178,0.0032424738256167716,0.0010902519796557317
209911_x_at,-0.007096202129272498,-0.0035242577781141138,0.006036535540341453,0.01872079818719544,-0.007128886684779802,-0.0021878602060043965,0.006155656631468699,-0.013464682189848311,-0.014874628914527807,-0.015380482007268065
205453_at,-0.006755643113869084,0.009893382745093018,0.011349812471155227,0.016208999587878057,-0.0025762612529163045,0.007198358990601313,0.005095189193126424,0.010086045911835085,-0.0014610938934539418,-0.006776366332974633
212148_at,-0.01345831738756958,0.0029603638022456607,0.010296940467286332,0.019356308912443235,-0.012272934950524417,0.005927080918903683,-0.014679747563021648,-0.0014439429885828392,-0.007120472834379718,0.007839158575404643
