pc,explained,cumulative
PC1,0.12281760443882524,0.12281760443882524
PC2,0.08483497587118378,0.20765258031000902
PC3,0.06914652415934781,0.27679910446935685
PC4,0.053295839895026065,0.3300949443643829
PC5,0.041144491781326585,0.3712394361457095
PC6,0.0329025379803289,0.40414197412603836
PC7,0.029970352417994863,0.4341123265440332
PC8,0.021884431140535225,0.45599675768456843
PC9,0.018280976016993942,0.4742777337015624
PC10,0.015536044626181512,0.4898137783277439
