PC1,PC2
-21.121608669849852,22.10031825292815
66.0859734767879,-102.31145087876067
3.0628327321346056,43.139064327128835
41.99397229308909,27.32305552975807
53.37404604367879,-1.8886306993972817
4.387878942062038,13.60754811624643
-12.299422498503471,49.83561104730212
60.21396605869189,-11.20166763421925
36.11079317799312,40.94977521292841
-31.419065046975227,-16.49593710112783
71.45276700628536,-47.51886135821005
-18.11486676741039,-27.554131604940697
21.75798168797863,-9.349125911577106
-59.38986247016772,17.267623937389235
72.36428240994331,-10.385620406043818
22.461029206366913,-33.614790023596015
29.78457532903886,-16.210734711961823
52.788808153477795,-50.60929729289436
90.46198630655738,29.535234359212854
11.391570230999655,22.287561382795978
-21.18900586192642,-19.547948930223544
-6.613221070865085,-35.7397592521972
31.533000221673962,-17.0431950489373
33.754121690698476,45.368353854679626
-5.8479675595696605,-20.82524792126733
-7.0929820191269775,24.23903430299451
18.41307430920112,-42.37342521555367
-31.29037924940217,8.19631298057808
6.593207594383879,47.59616297935341
-12.357300830342352,25.852892974368597
15.786397716266269,-10.352960790031325
36.10631553273857,-20.46128075422154
17.350064372248774,-32.65362416469392
54.63811776879591,29.77807511551556
36.980688447183326,-101.17967748663041
24.490449499287546,-26.16801557866901
94.63216462150325,-88.13566523403438
-2.4089482197254384,-58.34131392989799
-2.798749862489688,-44.94996615822526
-17.169878506608466,-37.05414803574577
28.828918479638933,-34.18016399931363
4.172038231292976,40.31314717889511
20.96305565220552,-21.83588587891366
-21.691270333322556,-3.6152456013422722
59.1723315567741,43.16368339842156
12.112223882799865,48.017832967882406
13.315391445749292,-43.094352711561896
14.809179403299659,-15.341116741516883
12.043959118674527,30.3267592777559
10.974766210246234,50.034259245998136
13.090149246549263,-6.126669570304491
63.222596149037415,-96.83520900328179
33.57265509931597,-22.77089806770395
17.18447261603143,40.13328485859391
5.7947253060155255,13.123968636941424
7.123942174739246,-26.39454555443974
31.12689997466628,18.788907201170773
-33.89899152631925,5.5136019201701245
12.316971272194907,-73.62524395952383
-26.536531565994284,-18.539799471850827
-5.655869828722433,-17.282708433955648
14.920114255865684,-63.059765076720566
8.261695579800124,24.24800612299843
41.6203857425763,3.5765287002967447
8.508271440162803,26.01493556713499
-19.342065033644243,-61.40365795881445
62.07087956219764,53.354815876980545
-6.247862698814415,11.451857129457983
45.39931467572907,17.353572828760313
42.78498454558409,-35.6186242426249
12.514192797342814,23.937165738158384
-25.867200843764852,-59.363518425737695
56.95268196922026,10.09923056874653
1.8847705209055192,-84.74259816343243
61.435780026061515,-9.045651704527227
47.433856264092164,12.924853819929714
-21.883513831424107,-13.922910581388322
46.88052721096236,-21.93087591000934
-34.65304781580707,-7.82989630401285
-43.27747772650079,3.9969176406524025
22.320414929576163,26.48116296504933
-13.62177825054931,-26.0146409207357
-26.66090640554465,15.654015383319463
-44.12837537019171,-1.3712801410091529
26.03120683841039,-12.952501853783442
-47.16445094699755,-9.13257624235751
43.43552775126752,-7.401704766807885
55.48168572079127,20.935613573977772
16.87744610593189,24.90896820741091
93.62828334692362,71.53890857958679
10.939573121969083,55.08216962297501
-30.807715575766643,-11.660241339703527
-18.908665235175732,26.914224596961784
-35.722903256263635,-36.988219417316486
-43.03575408712713,4.0627378856772385
-22.195359323614177,20.485993168955215
6.268703546530528,13.071224390797632
-31.1722857144742,-1.1613147180786223
-6.600844817948342,-84.97233534801566
-15.441779164031061,-48.21366870374036
-15.944222331978619,35.16997779836537
-17.61426283889777,25.678673746126094
-76.81558990762122,1.6037996867486006
-71.21459896648332,7.762690833256427
-71.2086732701882,-8.182244888102709
-32.926978097871505,3.2714727993084085
56.723715955831125,45.1289894236868
10.299698132569258,30.241338718113706
-18.482826093714294,44.09576701756688
-45.68649245898998,-11.813552509469062
7.112367768219985,-28.183099142019262
-58.72399908793319,0.3216603595750605
10.633280547496744,-6.098804780973801
0.40058799827987,0.7834731961786988
-14.321987034926963,-34.03771660710608
-65.62517536314286,-8.764818024815344
-29.24680106530938,-23.158028247078825
4.274863279209866,17.2529757213967
98.00581831749724,-3.675408642466086
9.444673163564136,31.41939025668445
-37.27535476206034,-54.19823309074498
-12.721007193675863,12.51392680017212
-49.851791647056274,12.268670832121913
-12.244547106321791,-108.10309576230246
-44.80382088009419,-2.3597287262521314
5.613325146978384,-5.113881351906964
-52.24960202878988,-32.92557567324236
-37.391616482569766,50.855882897620724
-18.048754311982826,-21.426482889690174
-29.368454373094664,46.374628036599844
-28.060129952712796,35.13120396696844
-40.419764263921664,-0.2866063879700066
-39.75048674997761,9.431058476242042
-43.71105231214968,-5.065015350837195
7.751084071527662,33.39736931506745
1.5581735522152156,64.0658667695778
44.18383578165527,-36.11590333285554
-17.06251919455464,12.771827269463737
-22.367025760119443,18.670365837342604
-73.87312379251014,-16.09741982319001
-53.507482452677735,-33.71209421053463
-26.852906428465413,-39.68188812283023
-53.564112747507615,-28.205664412539175
-26.22179273157341,30.324673559772435
-62.34651957508503,-12.682708836446219
13.926316332210284,64.14159721642615
-24.482378298277652,6.352137833814719
-27.877296325439904,62.89219437533498
23.853366676788266,46.708532893976916
-50.94835659638498,56.06900293026655
-47.658778793138005,-32.96585685338419
-47.337230314650746,9.084011553912147
6.332051361138681,3.3907887443385296
34.94159007916712,45.63956180634854
-25.99499498023247,-8.40059869224634
42.97396280191679,-24.730759044150314
90.13473511965977,-33.96104069876706
-22.539420325961956,1.504493130808186
4.74025170415156,14.468152576975541
30.242130500704477,22.6655306521238
-35.771067441262566,-1.964548171836384
-6.2694975959121475,27.81183228891284
